Cluster_4,O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning
0,8.436666666666666,4.326666666666666,7.88111111111111,7.141111111111111,6.043333333333333,3.522222222222222,3.352222222222222,8.426666666666668,5.141111111111111,4.414444444444445
1,6.608125,8.546875,4.505625,6.38875,5.116875,8.27625,3.5975,4.01,4.381875,6.88125
2,6.858043478260869,7.688695652173913,6.371086956521739,8.158478260869565,5.965869565217392,4.485434782608696,3.3097826086956523,3.9428260869565217,4.578043478260869,7.906739130434782
3,7.9067647058823525,7.7102941176470585,4.310294117647059,5.2620588235294115,4.802352941176471,7.4473529411764705,6.45735294117647,6.495,8.060882352941176,5.878529411764706
